Stimulus,Log (1/ODT),E,S,A,B,L,V,M,AL,AC,ES,C1,C1AC,C1AL,HS,C2,C2Al,C2AC,GrpNo,Train,Duplicates,CID,MolecularWeight,IsomericSMILES,IUPACName,name
712,0.30103,0.22,0.62,0.0,0.33,0.73,0.2652,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,712,30.026,C=O,formaldehyde,formaldehyde
798,3.52288,1.2,1.16,0.44,0.2,5.153,0.9464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,798,117.15,C1=CC=C2C(=C1)C=CN2,1H-indole,indole
878,4.1549,0.4,0.6,0.0,0.12,1.64,0.413,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,878,48.11,CS,methanethiol,methanethiol
887,-1.9045,0.278,0.44,0.43,0.47,0.97,0.3082,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,2.5,0.5,1,887,32.042,CO,methanol,methanol
957,2.46432,0.199,0.42,0.37,0.48,4.619,1.2945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5,0.0,1,957,130.23,CCCCCCCCO,octan-1-ol,1-octanol
996,2.25181,0.805,0.89,0.6,0.3,3.766,0.7751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,996,94.11,C1=CC=C(C=C1)O,phenol,phenol
1031,-0.0615649999999999,0.236,0.42,0.37,0.48,2.031,0.59,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,1,1031,60.1,CCCO,propan-1-ol,1-propanol
1032,2.24413,0.233,0.65,0.61,0.44,2.276,0.6057,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1032,74.08,CCC(=O)O,propanoic acid,propionic acid
1049,0.54533,0.631,0.84,0.0,0.52,3.022,0.6753,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,1,1049,79.1,C1=CC=NC=C1,pyridine,pyridine
1068,2.52288,0.404,0.43,0.0,0.27,2.0366,0.5539,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1068,62.14,CSC,methylsulfanylmethane,dimethyl sulfide
1119,0.06048,0.37,0.66,0.28,0.1,0.7776,0.3465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1119,64.07,O=S=O,sulfur dioxide,sulfur dioxide
1127,3.20761,0.623,0.66,0.0,0.26,3.061,0.7271,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1127,88.17,C1CCSC1,thiolane,tetrahydrothiophene
1140,0.0403725,0.601,0.52,0.0,0.14,3.325,0.8573,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,2.5,0.5,3,1140,92.14,CC1=CC=CC=C1,toluene,toluene
1254,1.66,0.4,0.5,0.23,0.58,5.177,1.4677,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1254,156.26,CC1CCC(C(C1)O)C(C)C,5-methyl-2-propan-2-ylcyclohexan-1-ol,menthol
2758,0.495,0.383,0.45,0.0,0.65,4.864,1.3591,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,2758,154.25,CC1(C2CCC(O1)(CC2)C)C,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",eucalyptol
2879,4.26761,0.82,0.87,0.57,0.31,4.312,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2879,108.14,CC1=CC=C(C=C1)O,4-methylphenol,p-cresol
