Dataset,CID,IsomericSMILES
"Ravia 1,2",7519,COC1=CC=CC=C1
"Ravia 1,2",7770,CCCC(=O)OCCC
"Ravia 1,2",1140,CC1=CC=CC=C1
"Ravia 1,2",8030,C1=CSC=C1
"Ravia 1,2",8103,CCCCCCO
"Ravia 1,2",8129,CCCCCCCO
"Ravia 1,2",957,CCCCCCCCO
"Ravia 1,2",4133,COC(=O)C1=CC=CC=C1O
"Ravia 1,2",31252,CC1=CN=C(C=N1)C
"Ravia 1,2",31276,CC(C)CCOC(=O)C
"Ravia 1,2",8635,COC(=O)C1=CC=CC=C1N
"Ravia 1,2",26331,CCC1=NC=CN=C1
"Ravia 1,2",8797,CC1=CC=C(C=C1)OC(=O)C
"Ravia 1,2",8918,CCCCCCCCCOC(=O)C
"Ravia 1,2",62444,CCCC(=O)SC
"Ravia 1,2",2758,CC1(C2CCC(O1)(CC2)C)C
"Ravia 1,2",10722,CC1=CC=CC=C1C=O
"Ravia 1,2",93009,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C
"Ravia 1,2",7685,CC1=CC=C(C=C1)OC(=O)C(C)C
"Ravia 1,2",6054,C1=CC=C(C=C1)CCO
"Ravia 1,2",12178,CCCC(CC)O
"Ravia 1,2",6654,CC1=CCC2CC1C2(C)C
"Ravia 1,2",7714,CCCCCCCC1CCC(=O)O1
"Ravia 1,2",62336,CC(C1=CC=CC=C1)C(OC)OC
"Ravia 1,2",7059,CC1=CC2=C(C=C1)N=CC=C2
"Ravia 1,2",3314,COC1=C(C=CC(=C1)CC=C)O
"Ravia 1,2",7731,CC1=CC=C(C=C1)OC
"Ravia 1,2",7762,CCCC(=O)OCC
"Ravia 1,2",7966,C1CCC(CC1)O
"Ravia 1,2",7410,CC(=O)C1=CC=CC=C1
"Ravia 1,2",62433,CCCCCOC(=O)CCCC
"Ravia 1,2",61138,C=CCCC(=O)O
"Ravia 1,2",7991,CCCCC(=O)O
"Ravia 1,2",8148,CCCCNCCCC
"Ravia 1,2",326,CC(C)C1=CC=C(C=C1)C=O
"Ravia 1,2",240,C1=CC=C(C=C1)C=O
"Ravia 1,2",18827,CCCCCC(C=C)O
"Ravia 1,2",637511,C1=CC=C(C=C1)/C=C/C=O
"Ravia 1,2",11002,CCCCSCCCC
"Ravia 1,2",5281168,CCC/C=C/C=O
"Ravia 1,2",7710,CCCCCC1CCC(=O)O1
"Ravia 1,2",6544,CC1=CC(=O)CC(C1)(C)C
"Ravia 1,2",8130,CCCCCCC=O
"Ravia 1,2",126,C1=CC(=CC=C1C=O)O
"Ravia 1,2",325,CC(C)C1=CC=C(C=C1)CO
"Ravia 1,2",2214,CC(=O)C1=CC(=C(C=C1)O)OC
"Ravia 1,2",6050,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC
"Ravia 1,2",6560,CC(C)CO
"Ravia 1,2",6997,CCC1=CC=CC=C1O
"Ravia 1,2",6998,C1=CC=C(C(=C1)C=O)O
"Ravia 1,2",7122,CC(=O)C1=CC2=CC=CC=C2C=C1
"Ravia 1,2",7194,C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2
"Ravia 1,2",7593,C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2
"Ravia 1,2",7601,C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2
"Ravia 1,2",7657,C1=CC=C(C=C1)COCC2=CC=CC=C2
"Ravia 1,2",7765,CCOC(C)OCC
"Ravia 1,2",8077,CCSSCC
"Ravia 1,2",8180,CCCCCCCCCCC(=O)O
"Ravia 1,2",9012,C1=CC=C(C=C1)CSSCC2=CC=CC=C2
"Ravia 1,2",10925,CC(C)CCS
"Ravia 1,2",11086,CC(=O)C1=CC=CC=C1N
"Ravia 1,2",11980,CCOC(=O)C1=CC=CO1
"Ravia 1,2",14104,CC1=CC(=C(C=C1)C(C)C)OC
"Ravia 1,2",17121,CCCCCC(C=C)OC(=O)C
"Ravia 1,2",18554,CCC1=CC=CO1
"Ravia 1,2",23642,COC1=CC=CC=C1S
"Ravia 1,2",24834,CCOC1=CC=C(C=C1)C=O
"Ravia 1,2",31219,CCC(=O)OCC1=CC=CC=C1
"Ravia 1,2",61293,CCCC(CC(=O)OCC)O
"Ravia 1,2",61331,COC1=CC=CC=C1OC(=O)CC2=CC=CC=C2
"Ravia 1,2",61670,CC1=C2C(=CC=C1)N=CC=N2
"Ravia 1,2",61771,CCC(C)C1CCCCC1=O
"Ravia 1,2",62351,CSCCCN=C=S
"Ravia 1,2",89440,CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C
"Ravia 1,2",444972,C(=C/C(=O)O)\C(=O)O
"Ravia 1,2",520296,CCCCCCCCCC1CCCC(=O)O1
"Ravia 1,2",556940,CCOC(=O)CCSCC1=CC=CO1
"Ravia 1,2",565690,CC1CCC(C(C1)OC(=O)CC(C)C)C(C)C
"Ravia 1,2",637776,C/C=C/C1=CC(=C(C=C1)OC)OC
"Ravia 1,2",778574,CC(C)COC(=O)/C=C/C1=CC=CC=C1
"Ravia 1,2",1550470,CCOC(=O)/C=C/C=C/C
"Ravia 1,2",5273467,CC(C)CCOC(=O)/C=C/C1=CC=CC=C1
"Ravia 1,2",5363233,CCCCCC/C=C/C(=O)C
"Ravia 1,2",5364231,CC/C=C\CCOC(=O)C(C)O
"Ravia 1,2",5365049,CC/C=C\CCOC(=O)CC
"Ravia 1,2",5367698,CC/C=C\CCOC(=O)CC1=CC=CC=C1
